Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Columbia_300A_SW48_000053_2_p08,Columbia_300A_SW48_000054_3_p08,Columbia_300A_SW48_000055_2_p08,Columbia_300A_SW48_000056_2_p08,Columbia_300A_SW48_000057_2_p08,Columbia_300A_SW48_000058_2_p08,Columbia_300A_SW48_000060_2_p08,Columbia_300A_SW48_000061_2_p08,Columbia_300A_SW48_000062_2_p08,Columbia_300A_SW48_000063_2_p08,Columbia_300A_SW48_000064_2_p08,Columbia_300A_SW48_000065_2_p08,Columbia_300A_SW48_000066_2_p08,Columbia_300A_SW48_000067_2_p08,Columbia_300A_SW48_000051_2_p08,Columbia_300A_SW48_000052_2_p08
573.198197775819,32,35,4,2,0,1,1,0,CHONSP,Lignin,574.205474242699,0.0706708713603711,-1,0,0,0,0,0,0,0,0,0,0,6153305.5,0,0,0,0,0
573.211063795205,16,38,18,4,0,0,0,0,CHON,Other,574.218340262085,-0.400237450521261,-1,4454492.5,5052832.5,5221471.5,6210587.5,4802769.5,5238243.5,4995000,5812580.5,5737221,4489622,4539481,5840494.5,4845116,4886541.5,5921978.5,4783198.5
573.218998701601,26,38,14,0,0,0,0,0,CHO,Lignin,574.226275168481,-0.207652080285484,-1,0,1751454.9,2424926.8,2879514,2089680.1,0,0,2700643.3,0,0,2403928.8,2151020.3,2908731.3,2165772.5,0,1919069.5
573.219349721556,26,38,14,0,0,0,0,0,CHO,Lignin,574.226626188436,-0.818943627366067,-1,0,0,0,0,0,2309090.5,1737911.1,0,2405636,0,0,0,0,0,1972921.8,0
573.228821947179,0,0,0,0,0,0,0,0,,None,574.236098414059,0,-1,0,0,0,0,0,0,0,2383201.5,2029314.9,0,0,0,2161210.3,0,2017464.9,0
573.23425529712,30,38,11,0,0,0,0,0,CHO,Lignin,574.241531764,-0.208450787863693,-1,4807257,4047771.8,5386333,5770263.5,6074573.5,5271008.5,4588469.5,4563296.5,6264578,5105041.5,3942232,6047335.5,5420601.5,4685835,5674168.5,5113947.5
573.24730340024,27,43,11,0,0,0,1,0,CHOP,Protein,574.25457986712,-0.489562870034462,-1,2398807.3,2790809,3703899.8,3756053.5,3546315.5,3059679.3,0,3152222.3,3557120.8,2983311,2895447.3,2641507.5,3533368,3040265.5,4114615.3,3269722.3
573.247671949918,0,0,0,0,0,0,0,0,,None,574.254948416798,0,-1,0,0,0,0,0,0,2757556,0,0,0,0,0,0,0,0,0
573.255517893935,27,42,13,0,0,0,0,0,CHO,Protein,574.262794360815,-0.440434793578826,-1,0,0,0,0,1824458.1,0,0,0,0,0,0,0,0,0,0,0
573.270236092682,31,42,10,0,0,0,0,0,CHO,Lignin,574.277512559562,0.496292526552632,-1,0,0,0,0,0,0,1773489.4,0,2416382,0,2600022.3,0,0,0,2550453.3,0
573.270811870664,0,0,0,0,0,0,0,0,,None,574.278088337544,0,-1,2159444,0,2215001.3,2148369.5,1937607.6,1955804.4,0,1900378.1,0,1718154.5,0,1991516.4,2766389.5,0,0,2140247.3
573.283453311204,28,47,10,0,0,0,1,0,CHOP,Protein,574.290729778084,-0.0792950002724864,-1,0,0,1948247.9,0,0,1679834.9,0,0,0,0,0,0,0,0,1806004,0
574.047857622777,0,0,0,0,0,0,0,0,,None,575.055134089657,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1731546.4,0,0,0
574.083912832825,25,21,15,1,0,0,0,0,CHON,Lignin,575.091189299705,-0.122222191513727,-1,0,0,0,0,0,0,0,0,0,0,0,0,1891286.1,0,0,1673716.1
574.084236321445,0,0,0,0,0,0,0,0,,None,575.091512788325,0,-1,0,0,0,0,0,0,0,0,1731226.5,0,0,1995617.4,0,0,0,0
574.091352059619,0,0,0,0,0,0,0,0,,None,575.098628526499,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1689045.3,0,0,0
574.09165760892,0,0,0,0,0,0,0,0,,None,575.0989340758,0,-1,0,0,0,0,1809473.5,0,0,0,0,0,0,0,0,0,0,0
574.092212501741,25,22,15,0,1,0,0,0,CHO,Lignin,575.099488968621,-0.459212929584339,-1,0,0,1842431.9,2179976.8,0,0,2123346.5,1666250.4,0,0,1734957.1,0,0,0,0,0
574.092659517212,0,0,0,0,0,0,0,0,,None,575.099935984092,0,-1,2084829.6,0,0,0,0,0,0,0,0,0,0,0,0,1951146.8,0,0
574.108261840666,0,0,0,0,0,0,0,0,,None,575.115538307546,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3050451.3,0,0,0
574.119708094406,18,29,16,3,0,1,0,0,CHONS,Carb,575.126984561285,-0.229464429489985,-1,0,0,0,0,0,0,0,0,0,0,1799211.6,0,0,0,0,0
574.120306524953,26,25,14,1,0,0,0,0,CHON,Lignin,575.127582991833,-0.136447521199427,-1,0,1738469.5,0,0,0,0,1760079.3,0,0,1837797.4,0,0,0,0,0,1766895.6
574.120727956872,29,26,6,3,0,1,1,0,CHONSP,Lignin,575.128004423752,-0.0202406286779318,-1,0,0,0,0,0,1848182.6,0,0,1761942,0,0,0,2245073.8,0,0,0
574.121046215817,0,0,0,0,0,0,0,0,,None,575.128322682697,0,-1,0,0,0,0,0,0,0,0,0,0,0,2097494,0,0,0,0
574.127594977234,0,0,0,0,0,0,0,0,,None,575.134871444114,0,-1,0,0,0,0,0,0,0,0,0,0,2104363.3,0,0,0,0,0
574.128460130402,26,26,14,0,1,0,0,0,CHO,Lignin,575.135736597282,-0.219453380821931,-1,0,0,2622971.8,2222978.5,1969723.5,1924981.8,0,1939139.9,1861269,0,0,1815891.5,1847504.8,0,1730918.6,1649646.6
574.129003857347,29,25,8,3,0,1,0,0,CHONS,Lignin,575.136280324227,-0.0779629606444771,-1,0,1832163.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574.141681274936,23,29,16,1,0,0,0,0,CHON,Tannin,575.148957741816,-0.563075202413207,-1,0,0,0,0,0,0,0,0,1912467.4,0,0,1868623.5,0,0,0,1791981
574.156524915248,27,29,13,1,0,0,0,0,CHON,Lignin,575.163801382128,0.15411483168487,-1,0,0,0,0,0,0,0,0,1756305.6,0,0,0,0,0,0,0
